comp1,comp2,response
20.066498,-1.4922497,0
-3.385127,23.236025,0
-4.128122,20.660906,0
-12.39128,-6.864194,0
-0.33130944,-21.578121,0
15.485265,5.820021,0
-5.262785,15.660978,0
29.217218,-33.675247,0
-15.702324,-20.73584,0
-14.935559,-21.809418,0
26.031904,-2.0272093,0
24.823112,-6.2686043,0
-9.821652,6.8696766,0
4.6655765,-11.153561,0
22.984358,13.335824,0
19.381464,-14.860045,0
9.594508,-31.620174,0
-18.413225,20.543272,0
28.721115,2.5984173,0
-19.619143,-19.320698,0
-11.884996,18.190952,0
-1.1543679,-14.390643,0
-24.983227,-17.480984,0
-15.746078,34.99065,0
6.0941486,27.682117,0
-20.798306,23.878847,0
-2.3177907,-31.048258,0
2.0473576,-0.35001853,0
29.503922,-16.464115,0
25.698616,1.3836468,0
32.346985,-31.805748,0
20.159935,-9.7931185,0
24.353163,-23.27304,0
-2.6228905,18.017025,0
5.3905177,-2.819758,0
16.22703,-8.201386,0
-8.438099,-33.4457,0
3.1538234,26.973906,0
23.543783,2.0901794,0
0.30751202,13.895674,0
21.474123,5.4638777,0
18.19688,-28.071686,0
-21.64251,24.601429,0
32.562675,11.617135,0
26.89096,2.82915,0
36.852726,-11.023039,0
8.021729,-17.57369,0
32.351074,-31.783184,0
-26.856255,4.4935937,0
-3.4847326,-6.1023707,0
23.049765,-22.407633,0
39.71346,-18.228262,0
32.74321,-0.9485185,0
25.037516,2.698678,0
-20.932224,17.162857,0
15.86991,-8.601595,0
-33.30858,17.745367,0
-2.6860325,-24.183826,0
24.573622,5.0138288,0
11.119571,-22.806751,0
32.39933,1.7453083,0
11.146225,-24.118706,0
27.770538,-3.5007076,0
34.434372,5.8093066,0
10.620592,-19.814749,0
-22.999151,21.972576,0
-6.787974,-24.617199,0
23.570381,5.6364646,0
-1.0101691,-23.08789,0
34.092823,-4.5067825,0
-33.964066,15.047377,0
-17.21096,-3.147,0
31.185884,-8.364787,0
-17.271048,-9.952666,0
31.979204,11.5923,0
-4.1712523,21.209938,0
27.628933,10.044376,0
14.674823,7.5632215,0
-39.68185,19.556097,0
-1.478917,28.218431,0
-0.64336866,-17.043041,0
-21.867397,22.793083,0
32.77935,-6.9874234,0
21.830185,-29.012333,0
19.426096,-31.962233,0
-7.735543,11.096679,0
25.882092,-20.263493,0
24.123312,-36.009113,0
-6.914784,0.5502394,0
-2.389094,27.031433,0
-6.094737,25.200464,0
31.22232,-34.585567,0
23.939684,-15.3956,0
-4.9719706,23.433676,0
29.2576,-11.067528,0
24.554342,-17.287733,0
3.96168,4.8179746,0
1.837636,-31.548288,0
-20.907808,14.956271,0
-8.943158,7.0670433,0
-7.557588,10.572637,0
2.231142,19.139067,0
22.327919,6.277972,0
29.685972,3.207192,0
25.576372,-12.263375,0
26.83168,1.6065918,0
34.001923,-22.237726,0
5.773013,-26.17932,0
20.88713,-19.769087,0
29.601606,4.6146436,0
-15.521629,14.262027,0
13.5683365,24.39126,0
13.897963,8.491211,0
-10.470086,23.001886,0
14.142636,-18.03773,0
35.944855,-5.925772,0
13.98217,-31.667126,0
-17.205944,24.34293,0
-42.407303,21.245342,0
-23.880993,24.307178,0
15.59646,-16.135826,0
